,Unnamed: 0imdb_id,budget,imdb_idimdb_id,revenue,Unnamed: 0imdbID,Actors,Country,Director,Genre,IMDB Rating,IMDB Votes,Language,Production,Rated,Released,Runtime,Title,Year,imdb_idimdbID
0,0,200000000,tt0383574,1065659812,0.0,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",USA,Gore Verbinski,"Action, Adventure, Fantasy",7.3,"570,732","English, Turkish, Greek, Mandarin, French",Buena Vista,PG-13,7-Jul-06,151 min,Pirates of the Caribbean: Dead Man's Chest,2006.0,tt0383574
1,1,55000000,tt0454921,307077295,1.0,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe",USA,Gabriele Muccino,"Biography, Drama",8.0,"370,364","English, Cantonese",Sony Pictures,PG-13,15-Dec-06,117 min,The Pursuit of Happyness,2006.0,tt0454921
2,2,125000000,tt0382625,767820459,2.0,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno","USA, Malta, France, UK",Ron Howard,"Mystery, Thriller",6.6,"345,677","English, French, Latin, Spanish",Sony Pictures,PG-13,19-May-06,149 min,The Da Vinci Code,2006.0,tt0382625
3,3,150000000,tt0381061,599045960,3.0,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","UK, Czech Republic, USA, Germany, Bahamas, Italy",Martin Campbell,"Action, Adventure, Thriller",8.0,"504,713","English, French",Sony,PG-13,17-Nov-06,144 min,Casino Royale,2006.0,tt0381061
4,4,120000000,tt0317219,461983149,4.0,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",USA,"John Lasseter, Joe Ranft(co-director)","Animation, Comedy, Family",7.1,"292,502","English, Italian, Japanese, Yiddish",Buena Vista,G,9-Jun-06,117 min,Cars,2006.0,tt0317219
5,5,65000000,tt0416449,422610419,5.0,"Gerard Butler, Lena Headey, Dominic West, David Wenham",USA,Zack Snyder,"Action, Fantasy",7.7,"649,962",English,Warner Bros. Pictures,R,9-Mar-07,117 min,300,2006.0,tt0416449
6,6,54000000,tt0434409,132511035,6.0,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry","USA, UK, Germany",James McTeigue,"Action, Drama, Thriller",8.2,"870,474",English,Warner Bros. Pictures,R,17-Mar-06,132 min,V for Vendetta,2005.0,tt0434409
7,7,35000000,tt0458352,326551094,7.0,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci","USA, France",David Frankel,"Comedy, Drama",6.8,"310,101","English, French",20th Century Fox,PG-13,30-Jun-06,109 min,The Devil Wears Prada,2006.0,tt0458352
8,8,25000000,tt0449467,135330182,8.0,"Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight","France, USA, Mexico",Alejandro Gonz??lez I???rritu,Drama,7.5,"257,676","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language",Paramount Classics,R,10-Nov-06,143 min,Babel,2006.0,tt0449467
9,9,80000000,tt0438097,660940780,9.0,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",USA,Carlos Saldanha,"Animation, Action, Adventure",6.8,"212,777",English,20th Century Fox,PG,31-Mar-06,91 min,Ice Age: The Meltdown,2006.0,tt0438097
