,imdb_id,X.x,Actors,Country,Director,Genre,IMDB.Rating,IMDB.Votes,Language,Production,Rated,Released,Runtime,Title,Year,X.y,budget,revenue
1,tt0200465,1082,"Jason Statham, Saffron Burrows, Stephen Campbell Moore, Daniel Mays","UK, USA, Australia",Roger Donaldson,"Crime, Drama, Romance",7.3,"159,029","English, Latin",Lionsgate,R,7-Mar-08,111 min,The Bank Job,2008,1085,20000000,64822796
2,tt0206634,412,"Clive Owen, Juan Gabriel Yacuzzi, Michael Caine, Mishal Husain","USA, UK, Japan",Alfonso Cuar¨®n,"Drama, Sci-Fi, Thriller",7.9,"394,021","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian",Universal Pictures,R,5-Jan-07,109 min,Children of Men,2006,413,76000000,69959751
3,tt0211933,1189,"Hayden Christensen, Jessica Alba, Terrence Howard, Lena Olin",USA,Joby Harold,"Crime, Mystery, Thriller",6.5,"66,293","English, Japanese",MGM,R,30-Nov-07,84 min,Awake,2007,1193,86000000,14373825
4,tt0249516,2320,"Charlie Sheen, Hilary Duff, Eva Longoria, Wayne Brady",USA,Lawrence Kasanoff,"Animation, Action, Comedy",1.7,"6,340",English,Lionsgate Films,PG,12-Feb-13,91 min,Foodfight!,2012,2328,65000000,73706
5,tt0259324,30,"Matt Long, Raquel Alessi, Brett Cullen, Peter Fonda","USA, Australia",Mark Steven Johnson,"Action, Fantasy, Thriller",5.2,"194,273",English,Sony Pictures,PG-13,16-Feb-07,114 min,Ghost Rider,2007,30,110000000,228738393
6,tt0283503,2161,"Paulo Araujo, Daniel Tay, Ty Thomas Reed, Brian O'Neill",USA,Michael Corrente,"Crime, Drama",6.4,"5,178",English,City Lights Pictures,R,28-May-09,99 min,Brooklyn Rules,2007,2169,8000000,458232
7,tt0292963,433,"Philip Seymour Hoffman, Ethan Hawke, Albert Finney, Marisa Tomei",USA,Sidney Lumet,"Crime, Drama, Thriller",7.3,"86,036",English,ThinkFilm,R,26-Oct-07,117 min,Before the Devil Knows You're Dead,2007,434,18000000,25005257
8,tt0293564,1305,"Chris Tucker, Jackie Chan, Max von Sydow, Hiroyuki Sanada","USA, Germany",Brett Ratner,"Action, Comedy, Crime",6.2,"130,469","English, French, Japanese, Mandarin, Latin",New Line Cinema,PG-13,10-Aug-07,91 min,Rush Hour 3,2007,1309,140000000,258022233
9,tt0308353,1750,"George Carlin, John DiMaggio, Andy Dick, Sarah Michelle Gellar","USA, Germany","Paul Bolger, Yvette Kaplan, Greg Tiernan, Dino Athanassiou","Animation, Adventure, Comedy",4.5,"9,071",English,Lionsgate,PG,5-Jan-07,87 min,Happily N'Ever After,2006,1754,47000000,38085778
10,tt0315642,2131,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul",India,Bejoy Nambiar,"Action, Crime, Drama",7.2,"13,799",Hindi,Rajkumar Hirani Films,N/A,8-Jan-16,103 min,Wazir,2016,2138,5200000,9200000
11,tt0317219,4,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",USA,"John Lasseter, Joe Ranft(co-director)","Animation, Comedy, Family",7.1,"292,502","English, Italian, Japanese, Yiddish",Buena Vista,G,9-Jun-06,117 min,Cars,2006,4,120000000,461983149
12,tt0317919,18,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup","USA, Germany, China, Italy",J.J. Abrams,"Action, Adventure, Thriller",6.9,"276,546","English, Italian, Mandarin, Cantonese, German, Czech",Paramount Pictures,PG-13,5-May-06,126 min,Mission: Impossible III,2006,18,150000000,397850012
13,tt0327084,226,"Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes",USA,"Tim Johnson, Karey Kirkpatrick","Animation, Adventure, Comedy",6.7,"136,638",English,Dreamworks,PG,19-May-06,83 min,Over the Hedge,2006,226,80000000,343397247
14,tt0327597,462,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French",USA,Henry Selick,"Animation, Family, Fantasy",7.7,"162,748","English, Russian",Focus Features,PG,6-Feb-09,100 min,Coraline,2009,463,60000000,124596398
15,tt0337692,1252,"Sam Riley, Garrett Hedlund, Kristen Stewart, Amy Adams","France, USA, UK, Brazil, Canada, Argentina",Walter Salles,"Adventure, Drama, Romance",6.1,"35,571","English, French",IFC Films/Sundance Selects,R,23-May-12,124 min,On the Road,2012,1256,25000000,8784318
16,tt0337978,26,"Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q","USA, UK",Len Wiseman,"Action, Adventure, Thriller",7.2,"353,069","English, Italian, French",20th Century Fox,PG-13,27-Jun-07,128 min,Live Free or Die Hard,2007,26,110000000,383531464
17,tt0343737,210,"Matt Damon, Angelina Jolie, Alec Baldwin, Tammy Blanchard",USA,Robert De Niro,"Drama, History, Thriller",6.7,"90,420","English, Spanish, Russian, German, Lingala",Universal Pictures,R,22-Dec-06,167 min,The Good Shepherd,2006,210,85000000,59908565
18,tt0344854,751,"Freddie Highmore, Mia Farrow, Ron Crawford, Penny Balfour",France,Luc Besson,"Animation, Adventure, Family",6,"27,805",English,MGM,PG,12-Jan-07,94 min,Arthur and the Invisibles,2006,752,86000000,107944236
19,tt0348150,220,"Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden",USA,Bryan Singer,"Action, Adventure, Sci-Fi",6.1,"250,161","English, German, French",Warner Bros. Pictures,PG-13,28-Jun-06,154 min,Superman Returns,2006,220,270000000,391081192
20,tt0349467,1061,"Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard",USA,Joe Roth,"Crime, Drama, Mystery",5.1,"13,976","English, Italian",Sony Pictures Entertainment,R,17-Feb-06,113 min,Freedomland,2006,1064,37665000,14655628
21,tt0354899,1599,"Gael Garc¨ªa Bernal, Charlotte Gainsbourg, Alain Chabat, Miou-Miou","France, Italy",Michel Gondry,"Comedy, Drama, Fantasy",7.3,"63,625","French, English, Spanish",Warner Independent Pictures,R,29-Sep-06,105 min,The Science of Sleep,2006,1603,6000000,9524340
22,tt0359950,1135,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","USA, UK",Ben Stiller,"Adventure, Comedy, Drama",7.3,"255,473","English, Spanish, Icelandic",20th Century Fox,PG,25-Dec-13,114 min,The Secret Life of Walter Mitty,2013,1139,90000000,188133322
23,tt0360323,1994,"James Marsden, Giovanni Ribisi, Brad Renfro, Piper Perabo",USA,Bobby Moresco,"Crime, Drama, Thriller",6.4,"5,721","English, Italian",ThinkFilm,R,12-Apr-07,107 min,10th & Wolf,2006,1999,8000000,143451
24,tt0361748,64,"Brad Pitt, M¨¦lanie Laurent, Christoph Waltz, Eli Roth","USA, Germany","Quentin Tarantino, Eli Roth","Adventure, Drama, War",8.3,"991,284","English, German, French, Italian",The Weinstein Company,R,21-Aug-09,153 min,Inglourious Basterds,2009,64,70000000,319131050
25,tt0362120,584,"Anna Faris, Regina Hall, Craig Bierko, Bill Pullman",USA,David Zucker,"Comedy, Horror",5.1,"100,013","English, Japanese",Weinstein Co.,PG-13,14-Apr-06,83 min,Scary Movie 4,2006,585,45000000,178262620
26,tt0362478,1096,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn",USA,Richard Kelly,"Drama, Fantasy, Mystery",5.6,"80,753",English,Warner Bros. Pictures,PG-13,6-Nov-09,115 min,The Box,2009,1100,30000000,33333531
27,tt0364970,622,"Vin Diesel, Michelle Yeoh, M¨¦lanie Thierry, Lambert Wilson",France,Mathieu Kassovitz,"Action, Adventure, Sci-Fi",5.6,"85,617","English, Russian",20th Century Fox,PG-13,29-Aug-08,90 min,Babylon A.D.,2008,623,70000000,72108608
28,tt0365675,1687,"Tom¨¢s Koutn¨ªk, Tom¨¢s Ibl, Albert Franc, Matthias Schweigh?fer","Germany, UK",Nikolai M¨¹llersch?n,"Action, Adventure, Biography",6.4,"10,337","German, English, French",Monterey Media,PG-13,10-Apr-08,106 min,The Red Baron,2008,1691,18000000,40239
29,tt0365830,1304,"Jack Black, Kyle Gass, JR Reed, Ronnie James Dio","USA, Germany",Liam Lynch,"Adventure, Comedy, Music",6.8,"90,931",English,New Line Cinema,R,22-Nov-06,93 min,Tenacious D in The Pick of Destiny,2006,1308,22000000,13405595
30,tt0365907,367,"Liam Neeson, Maurice Compte, Patrick McDade, Luciano Acuna Jr.",USA,Scott Frank,"Crime, Drama, Mystery",6.5,"95,982","English, Spanish, Urdu, Russian",Universal Studios,R,19-Sep-14,114 min,A Walk Among the Tombstones,2014,367,28000000,53181600
31,tt0365929,787,"Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short","USA, Canada, France, Turkey",Dominic Sena,"Action, Crime, Mystery",5.5,"33,557","English, Russian",Warner Bros. Pictures,R,11-Sep-09,101 min,Whiteout,2009,788,40000000,12206028
32,tt0366548,225,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez","USA, Australia","George Miller, Warren Coleman(co-director), Judy Morris(co-director)","Animation, Comedy, Family",6.5,"144,497",English,Warner Bros. Pictures,PG,17-Nov-06,108 min,Happy Feet,2006,225,100000000,384335608
33,tt0367027,750,"Sook-Yin Lee, Paul Dawson, Lindsay Beamish, PJ DeBoy",USA,John Cameron Mitchell,"Drama, Romance",6.5,"28,887",English,ThinkFilm,UNRATED,20-Oct-06,101 min,Shortbus,2006,751,2000000,5179037
34,tt0367882,54,"Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf",USA,Steven Spielberg,"Action, Adventure, Fantasy",6.2,"359,982","English, German, Russian",Paramount Pictures,PG-13,22-May-08,122 min,Indiana Jones and the Kingdom of the Crystal Skull,2008,54,185000000,786636033
35,tt0367959,2093,"Aaran Thomas, Gaspard Ulliel, Li Gong, Helena-Lia Tachovsk¨¢","UK, Czech Republic, France, Italy, USA",Peter Webber,"Crime, Drama, Thriller",6.2,"91,861","English, German, Russian",MGM,R,9-Feb-07,121 min,Hannibal Rising,2007,2100,50000000,82169884
36,tt0368794,38,"Cate Blanchett, Ben Whishaw, Christian Bale, Richard Gere","Germany, Canada, USA",Todd Haynes,"Biography, Drama, Music",7,"50,791",English,The Weinstein Co.,R,7-Dec-07,135 min,I'm Not There.,2007,38,20000000,4001121
37,tt0369436,1085,"Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek","Germany, USA",Seth Gordon,"Comedy, Drama, Romance",5.6,"52,182",English,New Line Cinema,PG-13,26-Nov-08,88 min,Four Christmases,2008,1088,80000000,163733697
38,tt0369610,183,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",USA,Colin Trevorrow,"Action, Adventure, Sci-Fi",7,"471,142",English,Universal Pictures,PG-13,12-Jun-15,124 min,Jurassic World,2015,183,150000000,1513528810
39,tt0370032,593,"Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu",USA,Kurt Wimmer,"Action, Sci-Fi, Thriller",4.4,"73,466","English, Vietnamese",Sony Pictures,PG-13,3-Mar-06,88 min,Ultraviolet,2006,594,30000000,31070211
40,tt0371746,41,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",USA,Jon Favreau,"Action, Adventure, Sci-Fi",7.9,"759,000","English, Persian, Urdu, Arabic, Hungarian",Paramount Pictures,PG-13,2-May-08,126 min,Iron Man,2008,41,140000000,585174222
41,tt0372873,1761,"Jason Behr, Amanda Brooks, Robert Forster, Craig Robinson",South Korea,Hyung-rae Shim,"Action, Drama, Fantasy",3.6,"22,060","English, Korean",Sony Pictures Home Entertainment,PG-13,14-Sep-07,90 min,Dragon Wars: D-War,2007,1765,70000000,53587404
