,Unnamed: 0,imdb_id,profit,Actors,Director,Genre,IMDB Rating,IMDB Votes,Production,Rated,Year,imdbID
0,2,tt0024034,1842000,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler",Lloyd Bacon,"Comedy, Musical, Romance",7.6,"8,595",MGM Home Entertainment,UNRATED,1933,tt0024034
1,4,tt0031679,8100000,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold",Frank Capra,"Comedy, Drama",8.2,"84,919",ITVS,APPROVED,1939,tt0031679
2,10,tt0037008,980000,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",Otto Preminger,"Drama, Film-Noir, Mystery",8.1,"34,765",20th Century Fox,APPROVED,1944,tt0037008
3,16,tt0044081,6200000,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden",Elia Kazan,Drama,8.0,"84,114",Warner Bros. Pictures,PG,1951,tt0044081
4,17,tt0043949,21750000,"Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov","Mervyn LeRoy, Anthony Mann","Biography, Drama, History",7.2,"10,869",MGM Home Entertainment,APPROVED,1951,tt0043949
5,20,tt0029843,1948000,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains","Michael Curtiz, William Keighley","Action, Adventure, Romance",8.0,"40,922",Warner Bros.,PG,1938,tt0029843
6,27,tt0037008,980000,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",Otto Preminger,"Drama, Film-Noir, Mystery",8.1,"34,765",20th Century Fox,APPROVED,1944,tt0037008
7,46,tt0047396,35764313,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",Alfred Hitchcock,"Mystery, Thriller",8.5,"349,461",Paramount Pictures,APPROVED,1954,tt0047396
8,51,tt0052618,131900000,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd",William Wyler,"Adventure, Drama, History",8.1,"178,896",MGM,G,1959,tt0052618
9,65,tt0032138,30977967,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Adventure, Family, Fantasy",8.1,"318,607",Warner Bros. Pictures,PG,1939,tt0032138
10,76,tt0053291,22116152,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,"Comedy, Romance",8.3,"193,194",United Artists,APPROVED,1959,tt0053291
11,86,tt0032138,30977967,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Adventure, Family, Fantasy",8.1,"318,607",Warner Bros. Pictures,PG,1939,tt0032138
12,87,tt0031381,396176459,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes","Victor Fleming, George Cukor, Sam Wood","Drama, History, Romance",8.2,"236,664",Loew's Inc.,G,1939,tt0031381
13,88,tt0032455,81040000,"Leopold Stokowski, Deems Taylor","James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","Animation, Family, Fantasy",7.8,"76,601",Walt Disney Productions,G,1940,tt0032455
14,89,tt0033563,788000,"James Baskett, Herman Bing, Billy Bletcher, Edward Brophy","Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte","Animation, Drama, Family",7.3,"95,489",Walt Disney Productions,APPROVED,1941,tt0033563
15,90,tt0034583,9584500,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Michael Curtiz,"Drama, Romance, War",8.5,"425,377",Warner Bros. Pictures,PG,1942,tt0034583
16,93,tt0040522,228712,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",Vittorio De Sica,Drama,8.3,"107,278",ENIC,NOT RATED,1948,tt0040522
17,102,tt0032138,30977967,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Adventure, Family, Fantasy",8.1,"318,607",Warner Bros. Pictures,PG,1939,tt0032138
18,103,tt0032455,81040000,"Leopold Stokowski, Deems Taylor","James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","Animation, Family, Fantasy",7.8,"76,601",Walt Disney Productions,G,1940,tt0032455
19,112,tt0053779,19516000,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux",Federico Fellini,"Comedy, Drama",8.1,"53,327",American International Picture,NOT RATED,1960,tt0053779
20,114,tt0054047,2905000,"Yul Brynner, Eli Wallach, Steve McQueen, Horst Buchholz",John Sturges,"Action, Adventure, Western",7.8,"74,506",MGM Home Entertainment,APPROVED,1960,tt0054047
21,120,tt0032976,4712000,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",Alfred Hitchcock,"Drama, Mystery, Romance",8.2,"96,723",United Artists,APPROVED,1940,tt0032976
22,123,tt0037008,980000,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",Otto Preminger,"Drama, Film-Noir, Mystery",8.1,"34,765",20th Century Fox,APPROVED,1944,tt0037008
23,125,tt0041996,3225000,"Gregory Peck, Hugh Marlowe, Gary Merrill, Millard Mitchell",Henry King,"Drama, War",7.8,"10,723",Twentieth Century Fox Home Entertainment,NOT RATED,1949,tt0041996
24,126,tt0042332,260691415,"Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Animation, Family, Fantasy",7.3,"117,740",RKO Radio Pictures,APPROVED,1950,tt0042332
25,131,tt0046126,7250000,"Marilyn Monroe, Joseph Cotten, Jean Peters, Max Showalter",Henry Hathaway,"Film-Noir, Thriller",7.1,"12,079",Fox,APPROVED,1953,tt0046126
26,132,tt0048280,93600000,"Peggy Lee, Larry Roberts, Bill Baucom, Verna Felton","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Animation, Adventure, Comedy",7.3,"95,888",Buena Vista Pictures,APPROVED,1955,tt0048280
27,133,tt0049833,109700000,"Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson",Cecil B. DeMille,"Adventure, Drama",7.9,"52,151",Paramount Pictures,APPROVED,1956,tt0049833
28,135,tt0051622,2300000,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall",Kurt Neumann,"Drama, Horror, Sci-Fi",7.1,"17,153",Fox,APPROVED,1958,tt0051622
29,137,tt0053291,22116152,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Billy Wilder,"Comedy, Romance",8.3,"193,194",United Artists,APPROVED,1959,tt0053291
30,138,tt0053779,19516000,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux",Federico Fellini,"Comedy, Drama",8.1,"53,327",American International Picture,NOT RATED,1960,tt0053779
31,147,tt0043014,3248000,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",Billy Wilder,"Drama, Film-Noir",8.5,"155,722",Paramount Pictures,NOT RATED,1950,tt0043014
32,150,tt0047396,35764313,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",Alfred Hitchcock,"Mystery, Thriller",8.5,"349,461",Paramount Pictures,APPROVED,1954,tt0047396
