,country,imdb_rating,imdb_votes,language,production,released_on_weekend,released_on_dump_month,runtime,year,budget,revenue,actor_popularity,director_popularity,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,mystery,romance,thriller,other_genre,G,NC-17,PG,PG-13,R,TV-14,TV-MA,TV-PG,UNRATED
0,3,7.3,11.976841854508454,2,102,1,0,111,2008,16.811242831518264,17.987167889582324,21.727389,2.029155,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,3,7.9,12.88415948635209,9,163,1,1,109,2006,18.146243898250606,18.063430648931668,13.835096000000002,2.0897900000000003,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,1,6.5,11.101839589906104,2,21,1,0,84,2007,18.269857854217783,16.48091940217643,16.142013000000002,1.0009270000000001,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3,1,1.7,8.754634047431272,1,102,0,1,91,2012,17.98989782785991,11.20783948598991,13.566246,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2,5.2,12.177019665339083,1,210,1,1,114,2007,18.51599092375669,19.248089519848932,7.153205999999999,2.828585,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
5,1,6.4,8.552174160311482,1,701,0,0,99,2007,15.89495209964411,13.03513088506141,4.6354370000000005,1.0060879999999999,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1,7.3,11.362521092296324,1,701,1,0,117,2007,16.70588231586044,17.034596640726736,20.018727,1.982332,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,2,6.2,11.778890929633196,5,27,1,1,91,2007,18.75715298057358,19.368556313591693,20.564502,3.061718,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,2,4.5,9.112837790614945,1,102,1,1,87,2006,17.665658159674333,17.4553514895704,13.762976,1.0481200000000002,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1,7.2,9.532351404751555,1,701,1,1,103,2016,15.464169183551656,16.034714042019267,6.884670999999999,1.138298,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
