,imdb_id,profit
2,tt0024034,1842000
4,tt0031679,8100000
10,tt0037008,980000
16,tt0044081,6200000
17,tt0043949,21750000
20,tt0029843,1948000
27,tt0037008,980000
46,tt0047396,35764313
51,tt0052618,131900000
65,tt0032138,30977967
76,tt0053291,22116152
86,tt0032138,30977967
87,tt0031381,396176459
88,tt0032455,81040000
89,tt0033563,788000
90,tt0034583,9584500
93,tt0040522,228712
102,tt0032138,30977967
103,tt0032455,81040000
112,tt0053779,19516000
114,tt0054047,2905000
120,tt0032976,4712000
123,tt0037008,980000
125,tt0041996,3225000
126,tt0042332,260691415
131,tt0046126,7250000
132,tt0048280,93600000
133,tt0049833,109700000
135,tt0051622,2300000
137,tt0053291,22116152
138,tt0053779,19516000
147,tt0043014,3248000
150,tt0047396,35764313
154,tt0051622,2300000
156,tt0055608,5420000
158,tt0060397,6885000
159,tt0061852,201843612
163,tt0036868,21550000
168,tt0044081,6200000
169,tt0043686,10188
173,tt0046876,1300000
176,tt0053291,22116152
179,tt0053779,19516000
185,tt0032910,81700000
201,tt0019729,3979000
207,tt0037008,980000
213,tt0047396,35764313
215,tt0049833,109700000
227,tt0053779,19516000
231,tt0057012,7640272
236,tt0062467,7000000
238,tt0061809,9507551
241,tt0053291,22116152
245,tt0054953,22900000
246,tt0055608,5420000
247,tt0054997,5600000
248,tt0055312,2100000
254,tt0059017,20666667
258,tt0060397,6885000
262,tt0061512,13217773
263,tt0062229,39481
268,tt0065421,51675257
270,tt0066769,5876563
271,tt0066808,9833696
272,tt0066999,31976000
273,tt0068646,239066411
277,tt0069768,7144595
282,tt0058946,121548
297,tt0071853,4628948
302,tt0049223,1350000
307,tt0053291,22116152
308,tt0054215,31193052
328,tt0068646,239066411
331,tt0071455,72666653
337,tt0080455,88229890
338,tt0080661,25399000
339,tt0080339,79953539
345,tt0061735,52666667
346,tt0061722,101945305
361,tt0064116,321508
372,tt0070047,433306145
374,tt0071455,72666653
380,tt0055304,1800000
405,tt0058329,4864839
410,tt0065938,1200000
411,tt0068154,2100000
427,tt0054047,2905000
442,tt0071853,4628948
447,tt0074119,62100000
453,tt0079470,16045115
461,tt0061578,39900000
463,tt0061852,201843612
467,tt0062765,36800873
471,tt0066026,78100000
477,tt0070518,6361217
480,tt0072431,83473333
481,tt0071562,89600000
489,tt0076070,20914658
490,tt0077372,15500000
492,tt0080749,20378361
494,tt0081554,389003
502,tt0080761,59204601
505,tt0082418,20472776
507,tt0083972,32690067
513,tt0087544,2301446
514,tt0087332,265212467
522,tt0068646,239066411
530,tt0075213,8091910
531,tt0074285,32000000
533,tt0075860,283788635
538,tt0081505,25017374
539,tt0083908,6110000
543,tt0082096,71000000
545,tt0084827,16000000
546,tt0083929,22592880
547,tt0085154,17233166
548,tt0087544,2301446
549,tt0088258,2236202
551,tt0086960,301360478
555,tt0090735,6637565
556,tt0091042,64136369
557,tt0092005,44287414
559,tt0093409,105207127
560,tt0073195,463654000
562,tt0074539,11234220
567,tt0080339,79953539
572,tt0083866,782465326
574,tt0084237,6455530
577,tt0087544,2301446
586,tt0083907,29050000
587,tt0082694,22600832
588,tt0084434,129795554
589,tt0086066,23697647
593,tt0089907,10237000
598,tt0092005,44287414
600,tt0066921,24389000
608,tt0076666,233613184
612,tt0078767,86432000
624,tt0077975,138300000
628,tt0082096,71000000
631,tt0083658,5139618
634,tt0087544,2301446
637,tt0088247,71971200
646,tt0068646,239066411
667,tt0087544,2301446
671,tt0090563,2003822
674,tt0093058,29357676
683,tt0073195,463654000
688,tt0075860,283788635
691,tt0080736,16647800
696,tt0083658,5139618
699,tt0083987,55737889
702,tt0087003,2600497
703,tt0087544,2301446
704,tt0093754,215496
721,tt0091605,57200000
724,tt0094890,7524919
727,tt0097351,84431625
733,tt0099685,21836394
734,tt0099487,33000000
736,tt0099726,20710451
739,tt0101376,138
740,tt0087544,2301446
743,tt0086879,33973029
744,tt0088247,71971200
749,tt0091149,24625550
750,tt0093437,23722567
757,tt0099088,204527583
758,tt0099077,52096475
760,tt0093773,80235548
761,tt0092890,207954274
766,tt0099810,169200000
767,tt0099653,483000000
768,tt0099685,21836394
769,tt0101393,77368585
771,tt0105287,396003
773,tt0104257,203240178
776,tt0106697,102055768
779,tt0110357,942483777
784,tt0091149,24625550
785,tt0091059,18564613
788,tt0091129,54817939
791,tt0094012,15419483
792,tt0092603,4398938
793,tt0093693,24833181
801,tt0092603,4398938
803,tt0094612,13256975
804,tt0094737,133668774
806,tt0094862,35196684
807,tt0095765,11990401
809,tt0097757,171343479
816,tt0104694,92440069
817,tt0105435,105232691
818,tt0103639,476050219
826,tt0087544,2301446
830,tt0090555,323203506
834,tt0097428,178394738
835,tt0096794,43134790
841,tt0088763,362109762
845,tt0089118,20603715
846,tt0091149,24625550
847,tt0091605,57200000
848,tt0091055,11949484
858,tt0098971,1000000
859,tt0099088,204527583
864,tt0076729,126737428
871,tt0079714,11688469
885,tt0097138,9666459
887,tt0097757,171343479
892,tt0102526,39124253
893,tt0102004,65595485
904,tt0087544,2301446
909,tt0093773,80235548
910,tt0092890,207954274
920,tt0097814,11272849
921,tt0099674,82766062
927,tt0103855,386006740
932,tt0109444,153887717
933,tt0110200,1907743
936,tt0116332,40622
937,tt0112740,104387195
939,tt0112870,86800000
945,tt0105265,43440294
947,tt0106856,15903593
952,tt0109830,622945399
954,tt0114709,343554033
956,tt0116790,5770254
960,tt0101414,352350553
966,tt0105046,5471088
975,tt0112442,122407024
976,tt0112384,303237933
977,tt0114709,343554033
981,tt0110200,1907743
983,tt0112851,18405445
985,tt0114709,343554033
986,tt0114746,139340000
988,tt0116367,6836616
989,tt0116253,66969216
992,tt0118928,62127760
994,tt0118849,720000
995,tt0118617,86804348
996,tt0119217,215933435
999,tt0120815,411840909
1001,tt0099044,115518974
1004,tt0101414,352350553
1010,tt0108333,23898845
1014,tt0112625,13940383
1016,tt0112922,4367497
1020,tt0106582,185000211
1032,tt0113277,127436818
1035,tt0116790,5770254
1037,tt0116583,138851
1046,tt0114781,44324083
1048,tt0116790,5770254
1050,tt0117509,132798761
1051,tt0118883,61982834
1052,tt0120762,214320254
1060,tt0099253,22763605
1065,tt0103956,7560255
1067,tt0104431,340991681
1070,tt0108333,23898845
1074,tt0112573,138000000
1078,tt0116583,138851
1091,tt0087884,435023
1092,tt0087332,265212467
1102,tt0104692,22101000
1112,tt0106977,324875760
1113,tt0107688,57634409
1121,tt0095016,112767956
1124,tt0097814,11272849
1125,tt0098384,95904091
1128,tt0099423,170031094
1130,tt0099685,21836394
1138,tt0104952,53088552
1139,tt0103772,303927224
1141,tt0116213,142295562
1143,tt0116353,258263
1145,tt0119095,14000000
1147,tt0118880,149012234
1148,tt0119094,165676146
1153,tt0118583,92000000
1158,tt0120902,123198313
1161,tt0118884,81120329
1162,tt0118571,230156409
1165,tt0118929,200316
1168,tt0169388,278161
1173,tt0120363,407366869
1183,tt0119698,132875308
1187,tt0120591,413799566
1194,tt0188030,3000000
1195,tt0120363,407366869
1205,tt0222368,1069154
1206,tt0120363,407366869
1215,tt0266308,20500000
1219,tt0126029,424409218
1222,tt0118971,95944660
1224,tt0120338,1645034188
1225,tt0118604,4570463
1229,tt0120611,86183530
1233,tt0218553,12686644
1234,tt0163651,224483004
1235,tt0137523,37853753
1238,tt0146882,17126295
1239,tt0186151,37106245
1241,tt0119008,6954997
1242,tt0118826,75114
1245,tt0119217,215933435
1246,tt0120902,123198313
1248,tt0147800,37478166
1254,tt0227538,112934180
1255,tt0271027,39437847
1256,tt0198781,447816256
1257,tt0241527,851475550
1261,tt0211915,163921954
1262,tt0230011,66053725
1268,tt0275847,65771527
1269,tt0252076,99906693
1271,tt0283426,115680000
1272,tt0309987,121165
1277,tt0387564,102711669
1280,tt0116705,69832389
1285,tt0125439,321889678
1289,tt0144084,27266564
1291,tt0204946,62449929
1294,tt0245429,259925095
1297,tt0251806,13102295
1304,tt0088933,85313124
1308,tt0090180,17307019
1313,tt0091670,300653
1316,tt0090567,5186646
1318,tt0093191,700000
1334,tt0116839,2409225
1343,tt0103874,175862692
1344,tt0104257,203240178
1347,tt0107688,57634409
1351,tt0110366,67308282
1354,tt0109686,231275374
1358,tt0112864,276101666
1362,tt0120616,335885488
1368,tt0146675,111989043
1371,tt0216216,14085477
1376,tt0209163,335013274
1392,tt0258463,154034224
1398,tt0253754,7312826
1400,tt0160797,11000000
1404,tt0190332,196525736
1405,tt0126029,424409218
1406,tt0287635,28023563
1414,tt0258463,154034224
1428,tt0258000,148397415
1431,tt0338564,8708932
1435,tt1006926,14817006
1437,tt0318462,16756372
1438,tt1010435,13422333
1446,tt0159273,51753202
1449,tt0187738,101010032
1454,tt0304669,107855065
