,budget,imdb_id,revenue
0,55000000,tt0454921,307077295
1,200000000,tt0383574,1065659812
2,120000000,tt0317219,461983149
3,54000000,tt0434409,132511035
4,35000000,tt0458352,326551094
5,150000000,tt0381061,599045960
6,40000000,tt0482571,109676311
7,90000000,tt0407887,289847354
8,10000000,tt0489270,163876815
9,110000000,tt0477347,574480841
10,50000000,tt0401855,111340801
11,150000000,tt0317919,397850012
12,125000000,tt0382625,767820459
13,50000000,tt0384537,97607453
14,0,tt0779982,4947717
15,100000000,tt0450259,170877916
16,30000000,tt0420223,53653224
17,65000000,tt0416449,422610419
18,55000000,tt0450232,65664721
19,85000000,tt0343737,59908565
